symptoms,topic
" or agitation,General , (pallor),, moist skin",Hypovolemic shock
,Hypoventilation
"Hard stools or constipation,Increased sensitivity to cold temperature,Heavier and irregular menstrual periods,Paleness or dry skin,Sadness or depression,Decreased taste and smell,Hoarseness,Puffy face, hands, and feet,Slow speech,Thickening of the skin,Thinning of eyebrows,Low body temperature,Slow heart rate ",Hypothyroidism
"Being outside without enough protective clothing in winter,Falling into cold water of a lake, river, or other body of water,Wearing wet clothing in windy or cold weather,Heavy exertion, not drinking enough fluids, or not eating enough in cold weather ",Hypothermia
,Hypothalamus
"Euphoric ""high"" sensations, (lack of normal growth in children),Loss of body fat and appetite (cachexia) ",Hypothalamic tumor
"The catheter may be held in place with small stitches. The health care provider will remove the stitches when your child does not need the catheter anymore.,The catheter will drain into your child's diaper or a bag taped to his leg. Some urine may leak around the catheter when he urinates. There may also be a spot or two of blood. This is normal. ,Antibiotics to prevent infection,Medicines to relax the bladder and stop bladder spasms. These may cause your child's mouth to feel dry.,Prescription pain medicine, if needed. You can also give your child acetaminophen (Tylenol) for pain. ",Hypospadias repair - discharge 
"Difficulty controlling and directing urine stream,A curve in the penis during erection,Decreased fertility,Embarrassment about appearance of penis",Hypospadias repair
"Abnormal spraying of urine,Having to sit down to urinate,Foreskin that makes the penis looks like it has a ""hood"" ",Hypospadias
"Bluish (,) or poor skin color,Cold hands and feet (extremities),Lethargy,Poor pulse,Poor suckling and feeding,Pounding heart,Rapid breathing,Shortness of breath ",Hypoplastic left heart syndrome
"Lack of sex drive (in men or women),Dizziness or fainting,Excessive urination and thirst,Failure to release milk (in women),, weakness,Headache, (in women) or stopping of menstrual periods,Loss of armpit or pubic hair,Loss of body or facial hair (in men),Low blood pressure,Low blood sugar, (less than 5 feet or 1.5 meters) if onset is during a growth period,Slowed growth and sexual development (in children),The number of hormones that are missing and the organs they affect,The severity of the disorder ,Hair loss",Hypopituitarism
"The type of cancer you have,Where the cancer first showed up in your body,What the cancer cells look like under a microscope,Whether the cancer has spread,Your age and general health ",Types of chemotherapy
"Bone pain,Confusion,Muscle weakness ",Hypophosphatemia
"Lowered function of sexual hormones (,),Inability to smell (in some people) ",Hypothalamic dysfunction
"Calcium deposits in some tissues
 ,Decreased consciousness,Muscle spasms called tetany (can affect the larynx, causing breathing difficulties),, legs, and feet,Painful menstruation,Seizures,Teeth that do not grow in on time, or at all, lips, fingers, and toes,Weakened tooth enamel (in children) ",Hypoparathyroidism
" (strabismus),Hearing problems,Increased body hair (,),Streaked, whirled or mottled patches of skin on the arms, legs, and middle of the body,Intellectual disability including , and learning disability,Mouth or tooth problems ",Hypomelanosis of Ito
"Lack of development at puberty (development may be very late or incomplete),In girls, a lack of breasts and menstrual periods ,In boys, no development of sex characteristics, such as enlargement of the testes and penis, deepening of the voice, and facial hair,Inability to smell (in some cases), (in some cases),Loss of interest in sex (libido) in men,Loss of menstrual periods (amenorrhea) in women,Decreased energy and interest in activities,Loss of muscle mass in men,Weight gain
 ,Mood changes",Hypogonadotropic hypogonadism
"Hot flashes,Energy and mood changes,Menstruation stops,Breast enlargement,Muscle loss,Decreased interest in sex (low libido),Headaches or vision loss,Milky breast discharge (from a prolactinoma),Symptoms of other hormonal deficiencies (such as ,)",Hypogonadism
"Bleeding in the anterior chamber of the eye,Light sensitivity",Hyphema
" and nervousness,Bleeding,Cardiac disease, such as congestive , or heart attack,Drugs (such as an ,),Infection such as , or , and similar medical conditions ,Lung disease such as ,, , (COPD), or ,Panic attack,Pregnancy,Severe pain,Situations where there is a psychological advantage in having a sudden, dramatic illness (for example, ,), use",Hyperventilation
"Abnormal softening of the skull bone (in infants and children),Blurred vision, or swelling,
  Bulging of the soft spot in an infant's skull (,),Changes in alertness or consciousness,Dizziness,Double vision (in young children),Drowsiness,Hair changes, such as , and oily hair,Headache,Irritability,Liver damage,Nausea,Poor , (in infants and children),Skin changes, such as cracking at corners of the mouth, higher sensitivity to sunlight, oily skin, peeling, itching, and yellow color to the skin,Vision changes,Vomiting ",Hypervitaminosis A
,Hypochromia
"Difficulty concentrating,Frequent bowel movements, (visibly enlarged thyroid gland) or ,Hair loss, ,Irregular menstrual periods in women,Nervousness,Pounding or racing heart beat (,),Sleep problems, (or weight gain, in some cases) ,Breast development in men,Clammy skin,Diarrhea,Itchy or irritated eyes,Itchy skin,Nausea and vomiting, (exophthalmos),Skin blushing or flushing, of the hips and shoulders ",Hyperthyroidism
" (anorexia),Frequent urination,Irritability,Excessive thirst (,),Passing large amounts of urine (,) ",Hypervitaminosis D
", especially during exercise,Fatigue,
   Lightheadedness, especially with or after activity or exercise,Sensation of feeling the heart beat fast or irregularly (,), with activity or after lying down (or being asleep for a while) ",Hypertrophic cardiomyopathy
,Hypertensive heart disease
"Low level of one or more types of blood cells,Feeling full too soon after eating,Stomach pain on the left side ",Hypersplenism
"Head and neck,Brain,Lung,Esophagus,Endometrial,Breast,Bladder,Rectal,Liver,Kidney,Cervical,Mesothelioma,Sarcomas (soft tissues),Melanoma,Neuroblastoma,Ovarian,Pancreatic,Prostate,Thyroid",Hyperthermia for treating cancer
"New rash over large areas,Purple-colored spots and patches on the skin,Skin sores mostly located on the legs, buttocks, or trunk, on the skin,Hives (,), may last longer than 24 hours,Open sores with dead tissue (necrotic ,) ",Hypersensitivity vasculitis
"Chills, (feeling ill),Breathlessness, especially with activity,Cough, often dry,Loss of appetite,Unintentional weight loss",Hypersensitivity pneumonitis
,Hyperplasia
" and forgetfulness,Feeling tired, ill, and weak,Fragile bones of the limbs and spine that can break easily, and needing to urinate more often, and ",Hyperparathyroidism
"Most commonly occurs at the shoulders and hips,May also involve the arms and legs, but does not affect muscles of the eyes and muscles that help with breathing and swallowing,Most commonly occurs while resting after activity or exercise,May occur on awakening,Occurs on and off,Usually lasts 1 to 2 hours, but may last up to an entire day,Eating a high carbohydrate meal,Exercise,Exposure to cold,Eating potassium-rich foods or taking medicines that contain potassium ",Hyperkalemic periodic paralysis
Down syndrome,Hypermobile joints
"Bone and tooth defects, including fractures and losing the baby teeth late,Eczema,Skin , and infection,Repeated ,Repeated lung infections
   ",Hyperimmunoglobulin E syndrome
,Hyperimmunization
,Hyperhidrosis
,Hyperglycemia - infants
"Severe, persistent nausea during pregnancy,Salivating a lot more than normal,Weight loss,Dehydration,, weakness, headaches, or ,Constipation ",Hyperemesis gravidarum
"Most commonly occurs at the shoulders and hips,May also affect the arms, legs, muscles of the eyes, and muscles that help with breathing and swallowing,Occurs off and on,Most commonly occurs on awakening or after sleep or rest,Is rare during exercise, but may be triggered by resting after exercise,May be triggered by high-carbohydrate, high-salt meals or drinking alcohol,Usually lasts 3 to 24 hours ,Eyelid myotonia (a condition in which after opening and closing the eyes, they cannot be opened for a short time) ",Hypokalemic periodic paralysis
"Make sure you drink as much water every day as your provider recommends.,Keep water next to your bed at night and drink some when you get up to use the bathroom. ,Eat fewer dairy foods (such as cheese, milk, yogurt, ice cream) or DO NOT eat them at all.,If your provider says you can eat dairy foods, DO NOT eat those that have extra calcium added. Read the labels carefully. ,DO NOT use antacids that have a lot of calcium in them. Look for antacids that have magnesium. Ask your provider which ones are OK.,Ask your doctor what medicines and herbs are safe for you to take.,If your doctor prescribes medicines to help keep your calcium level from getting too high again, take them the way you're told to. Call your doctor if you have any side effects.,Stay active when you get home. Your provider will tell you how much activity and exercise are OK. ",Hypercalcemia - discharge
"Digestive symptoms, such as nausea or vomiting, poor appetite, or constipation,Increased thirst or more frequent urination, due to changes in the kidneys ,Muscle weakness or twitches,Changes in how your brain works, such as feeling tired or fatigued or confused, and long-term spine changes, if the bones have become thinner or weaker",Hypercalcemia
,Hyperbaric oxygen therapy
"High blood pressure,High level of calcium in the blood, that comes and goes ",Hyperaldosteronism - primary and secondary
"A diet high in sugar is a major cause of tooth decay.,High-sugar foods tend to have fewer vitamins and minerals. These foods may replace foods with more nutrition. High-sugar foods also have extra calories that can lead to obesity.,Some people have allergies to dyes and flavors. If a child has a diagnosed allergy, talk to a dietitian.,Add fiber to your child's diet to keep blood sugar levels more even. For breakfast, fiber is found in oatmeal, shredded wheat, berries, bananas, whole-grain pancakes. For lunch, fiber is found in whole-grain breads, peaches, grapes, and other fresh fruits.,Provide ""quiet time"" so that children can learn to calm themselves at home.,Talk to your health care provider if your child cannot sit still when other children of his or her age can, or cannot control impulses. ",Hyperactivity and sugar
,Hyperactivity and children
" (ADHD),Brain or , disorders,Emotional disorders,Over-active thyroid (,)",Hyperactivity
"Liver swelling,Change in skin color (pallor) ,Breathing problems,Bruising or purplish bruise-like spots on the skin,Heart failure,Severe anemia,Severe jaundice,Total body swelling ",Hydrops fetalis
"Atarax,Durrax,Rezine,Vistaril,Ucerax",Hydroxyzine overdose
"Nausea and vomiting,Urinary tract infection,Fever,Painful urination (dysuria),Increased urinary frequency,Increased urinary urgency ",Hydronephrosis of one kidney
"Dilaudid,Hydrostat ",Hydromorphone overdose
"Hydrogen peroxide,Hair bleach,Some contact lens cleaners",Hydrogen peroxide poisoning
"Norco,OxyContin,Percocet,Percodan,Vicodin,Vicodin ES ",Hydrocodone/oxycodone overdose
"Marfan syndrome (genetic disorder of human connective tissue),Osteogenesis imperfecta (congenital bone disorder characterized by brittle bones),Pseudoxanthoma elasticum (rare genetic disorder that causes fragmentation and mineralization of elastic fibers in some tissues),Subcutaneous T-cell lymphoma,Sun-related changes of older skin ",Hyperelastic skin
"Certain fertilizers,Pool chemicals,Soldering ,Toilet bowl and other porcelain cleaners ",Hydrochloric acid poisoning
"Anexsia,Anolor DH,Lortab,Lorcet,Norco,Vicodin,Zydone",Hydrocodone and acetaminophen overdose
"Age,Amount of brain damage,What is causing the buildup of CSF fluid ,Eyes that appear to gaze downward,Irritability,Seizures,Separated sutures,Sleepiness,Vomiting ,Brief, shrill, high-pitched cry,Changes in personality, memory, or the ability to reason or think,Changes in facial appearance and eye spacing, or uncontrolled eye movements,Difficulty feeding,Excessive sleepiness,Headache,Irritability, poor temper control, (urinary incontinence),Loss of coordination and trouble walking, (spasm),Slow growth (child 0 to 5 years),Slow or restricted movement",Hydrocephalus
"Becomes too large,Causes problems with blood flow,Is infected,Is painful or uncomfortable ",Hydrocele repair
,Hydrocele
"Arterial blood gas monitoring,Breathing support, including oxygen, inhalation treatment, breathing tube and ventilator (machine), in severe cases,Complete blood count (CBC),Chest x-ray,EKG (electrocardiogram, or heart tracing),Fluids by vein (intravenous or IV),Blood ",Hydrocarbon pneumonia
"Abnormal growth of the uterus, either bigger or smaller than usual,Nausea and vomiting that may be severe enough to require a hospital stay, during the first 3 months of pregnancy,Symptoms of ,, including ,,,, ,, ,or nervousness, warm and moist skin, ,, or ,Symptoms similar to , that occur in the first trimester or early second trimester, including high blood pressure and ,, ankles, and legs (this is almost always a sign of a hydatidiform mole, because preeclampsia is extremely rare this early in a normal pregnancy) ",Hydatidiform mole
"Certain medicines used to treat HIV or AIDS,Long-term use of certain glucocorticoid medicines, including prednisone, cortisone, and hydrocortisone,Obesity, (caused by ,),Certain genetic disorders that cause unusual fat accumulation ",Hump behind the shoulders (Dorsocervical fat pad)
"Aggressive behavior,Mental function gets worse over time,Severe ,Jerky body movements ,Coarse features of the face, (gets worse over time),Joint stiffness",Hunter syndrome
"Abnormal bones in the spine,Claw hand,Halted growth,Heart valve problems,Joint disease, including stiffness, that gets worse over time,Thick, coarse facial features with ",Hurler syndrome
"Behavioral disturbances,Hallucinations,Irritability,Moodiness,Restlessness or fidgeting,Paranoia,Psychosis,Facial movements, including grimaces,Head turning to shift eye position,Quick, sudden, sometimes wild jerking movements of the arms, legs, face, and other body parts,Slow, uncontrolled movements,Unsteady gait,Disorientation or confusion,Loss of judgment,Loss of memory,Personality changes,Speech changes, 
 Difficulty swallowing 
 ,Speech impairment,Rigidity,Slow movements,Tremor",Huntington disease
,Humidifiers and health
,Hydramnios
"If someone bites you,If your hand comes into contact with a person's teeth and breaks the skin, such as during fist fight ",Human bites - self-care
,HPV vaccine (Human Papillomavirus) Cervarix® - what you need to know
,HPV vaccine
"Douching,Having intercourse,Taking a bath,Using tampons ",HPV DNA test
,HPV (Human Papillomavirus) vaccine - what you need to know
"The blood will start to clot within a few minutes or less and stop the bleeding.,The blood clots dry and form a scab, which protects the tissue underneath from germs. ,The wound becomes slightly swollen, red or pink, and tender.,You also may see some clear fluid oozing from the wound. This fluid helps clean the area.,Blood vessels open in the area, so blood can bring oxygen and nutrients to the wound. Oxygen is essential for healing.,White blood cells help fight infection from germs and begin to repair the wound.,This stage takes about 2 to 5 days. ,Over the next 3 weeks or so, the body repairs broken blood vessels and new tissue grows.,Red blood cells help create collagen, which are tough, white fibers that form the foundation for new tissue.,The wound starts to fill in with new tissue, called granulation tissue.,New skin begins to form over this tissue.,As the wound heals, the edges pull inward and the wound gets smaller. ,As healing continues, you may notice that the area itches. After the scab falls off, the area may look stretched, red, and shiny.,The scar that forms will be smaller than the original wound. It will be less strong and less flexible than the surrounding skin.,Over time, the scar will fade and may disappear completely. This can take as long as 2 years. Some scars never go away completely.,Scars form because the new tissue grows back differently than the original tissue. If you only injured the top layer of skin, you will probably not have a scar. With deeper wounds, you are more likely to have a scar. ",How wounds heal
"Computer screen manufacturing,Fluorescent bulbs,Glass etching,High-octane gasoline manufacturing,Some household rust removers ",Hydrofluoric acid poisoning
,HPV (Human Papillomavirus) Gardasil® Vaccine - what you need to know
"Move the marker to the bottom of the numbered scale.,Stand up straight.,Take a deep breath. Fill your lungs all the way.,Hold your breath while you place the mouthpiece in your mouth, between your teeth. Close your lips around it. DO NOT put your tongue against or inside the hole.,Blow out as hard and fast as you can in a single blow. Your first burst of air is the most important. So blowing for a longer time will not affect your result.,Write down the number you get. But, if you coughed or did not do the steps right, do not write down the number. Instead, do the steps over again.,Move the marker back to the bottom and repeat all these steps 2 more times. The highest of the 3 numbers is your peak flow number. Write it down in your log chart. ",How to use your peak flow meter
"Take the cap off the inhaler and spacer.,Shake the inhaler hard.,Attach the spacer to the inhaler.,If you have not used the inhaler in a while, you may need to prime it. See the instructions that came with your inhaler for how to do this.,Breathe out gently to empty your lungs.",How to use an inhaler - with spacer
"Take off the cap and shake the inhaler hard.,If you have not used the inhaler in a while, you may need to prime it. See the instructions that came with your inhaler for how to do this.,Breathe out all the way.,Hold the inhaler 1 to 2 inches (2.5 to 5 centimeters) in front of your mouth (about the width of 2 fingers).",How to use an inhaler - no spacer
,How to use a nebulizer
,How to tell your child that you have cancer
"Old habits like smoking in the car or after a meal,Being around people who smoke,Drinking alcohol,Smoking first thing in the morning ,Give your car a complete cleaning and make it a smoke-free zone.,Brush your teeth right after every meal.,If your friends light up, excuse yourself so you do not have to watch them smoke.,Limit how much you drink. You might need to avoid alcohol for a while after you quit.,Set a new morning or evening routine that does not include cigarettes. ,Learn how to deal with ,Read up on , and practice the techniques,Join a , or program to help you quit,Talk to a friend or family member you trust ",How to stop smoking: Dealing with a slip up
,How to take statins
,How to save money on medicines
"Alcoholics Anonymous -- ,Secular Organizations for Sobriety -- ,SMART Recovery -- ,Women for Sobriety -- ",How to stop drinking
"DO NOT buy just one type of , at first. Try a few different types to see which kind your baby likes and will use.,Buy powdered formula. It is much less expensive than ready-to-use and liquid concentrate.,Use cow's milk formula, unless your pediatrician says you shouldn't. Cow's milk formula is often less expensive than soy formula.,Buy in bulk, you will save money. But first try the brand to make sure your baby likes it and can digest it.,Comparison shop. Check to see which store is offering a deal or the lowest price.,Save formula coupons and free samples, even if you plan to breastfeed. You may decide to supplement with formula a few months from now, and those coupons will save you money.,Sign up for newsletters, special programs, and deals on formula company websites. They often send out coupons and free samples.,Ask your pediatrician for samples.,Consider generic or store-brand formulas. By law, they must meet the same nutritional and quality standards as brand-name formulas.,Avoid using disposable bottles. You will have to use a different liner with each feeding, which costs more.,If your baby needs special formula because of allergies or other health issues, see if your insurance will help cover the cost. Not all health plans offer this coverage, but some do. ",How to Save Money on Infant Formula
"Health libraries,Print and online newsletters and magazines,Blogs,Classes and seminars focused on issues related to having cancer,Information about , going on at your cancer center or hospital ",How to research cancer
,How to read food labels
,How to make a splint
"Keep your body heat trapped inside your clothes,Protect you from cold air, wind, snow, or rain,Protect you from contact with cold surfaces ,An inner layer that wicks sweat away from the skin. It can be lightweight wool, polyester, or polypropylene (polypro). Never wear cotton in cold weather, including your underwear. Cotton absorbs moisture and keeps it next to your skin, making you cold.,Middle layers that insulate and keep heat in. They can be polyester fleece, wool, microfiber insulation, or down. Depending on your activity, you may need a couple of insulating layers.,An outer layer that repels wind, snow, and rain. Try to choose a fabric that is both breathable and rain and wind proof. If your outer layer is not also breathable, sweat can build up and make you cold. ,Warm hat,Face mask,Scarf or neck warmer,Mittens or gloves (mittens tend to be warmer),Wool or polypro socks,Warm, waterproof shoes or boots ",How to prevent frostbite and hypothermia
"Find a piece of cloth that is about 5 feet (1.5 meters) wide at the base and at least 3 feet (1 meter) long on the sides. (If the sling is for a child, you can use a smaller size.),Cut a triangle out of a piece of this cloth. If you don't have scissors handy, fold a large square piece of cloth diagonally into a triangle.,Place the person's elbow at the top point of the triangle, and the wrist midway along the triangle's bottom edge. Bring the 2 free points up around the front and back of the same (or opposite) shoulder.,Adjust the sling so the arm rests comfortably, with the hand higher than the elbow. The elbow should be bent at a right angle.,Tie the sling together at the side of the neck and pad the knot for comfort.,If the sling was placed correctly, the person's arm should rest comfortably against his or her chest with the fingertips exposed. ,If you do not have material or scissors to make a triangle sling, you can make one using a coat or a shirt.,You can also make a sling using a belt, rope, vine, or sheet.,If the injured arm should be kept still, tie the sling to the body with another piece of cloth wrapped around the chest and tied on the uninjured side.,Occasionally check for tightness, and adjust the sling as needed. ",How to make a sling
"Gather your supplies: heparin, needles, syringes, alcohol wipes, medicine record, and container for used needles and syringes.,If you have a pre-filled syringe, make sure you have the right medicine at the right dose. DO NOT remove the air bubbles unless you have too much medicine in the syringe. Skip the section on ""Filling the Syringe"" and go to ""Giving the Shot.""",How to give a heparin shot
,How to choose the best hospital for surgery
,How to choose a health plan
"Use a wheelchair or stay in bed for a long time,Are an older adult,Cannot move certain parts of your body without help,Have a disease that affects blood flow, including diabetes or vascular disease,Have Alzheimer disease or another condition that affects your mental state,Have fragile skin,Cannot control your bladder or bowels,Do not get enough nutrition ",How to care for pressure sores
"Relax the muscles in your neck and shoulders.,Sit in a comfortable chair with your feet on the floor.,Inhale slowly through your nose for 2 counts.,Feel your belly get larger as you breathe in.,Pucker your lips, as if you were going to whistle or blow out a candle.,Exhale slowly through your lips for 4 or more counts. ",How to breathe when you are short of breath
"Heat cramps. Muscle cramps, usually in the legs or stomach (caused by loss of salt from sweating). This may be the first sign of overheating.,Heat exhaustion. Heavy sweating, cold and clammy skin, nausea and vomiting.,Heatstroke. When the body temperature rises above 104°F (40°C). Heatstroke is a life-threatening condition. ",How to avoid overheating during exercise
"Exercising before your body has warmed up,Repeating the same motion over and over again,Not having proper form for your exercise,Not resting in between workouts,Pushing your body too hard or too quickly,Doing an exercise that is too strenuous for your level of fitness,Not using proper equipment ",How to avoid exercise injuries
,How childhood cancers are different from adult cancers
"Your health care provider changes your prescription but you still have some medicine left,You feel better and your provider says you should stop taking the medicine,You have OTC medicines that you no longer need,You have medicines that are past their expiration dates ,Taking the wrong medicine due to mix-ups,Accidental poisoning in children or pets,Overdose,Misuse or illegal abuse ",How and when to get rid of unused medicines
,Household glue poisoning
"Turn into dark red tender ,Have bumps that fill with pus,Look like acne,Be thicker under swimsuit areas where the water was in contact with the skin for longer ",Hot tub folliculitis
"Biking, hiking, or walking tours,Museums,Fitness clubs,Farms,Festivals,Retail stores such as sporting goods, health food, and art stores,Acupuncture,Skin care,Eye care,Massage",Hospitals as health educators
"A cough with greenish or pus-like phlegm (sputum),Fever and chills,General discomfort, uneasiness, or ill feeling (malaise),Loss of appetite,Nausea and vomiting,Sharp chest pain that gets worse with deep breathing or coughing,Shortness of breath,Decreased blood pressure and fast heart rate ",Hospital-acquired pneumonia
"Decreased sweating on the affected side of the face, (,),Sinking of the eyeball into the face,Small (constricted) pupil (the black part in the center of the eye) ",Horner syndrome
"What is the chance for curing your cancer or illness?,If you cannot be cured, how much time would any active treatment provide you?,What would your life be like during this time?,Can you change your mind after you have started hospice?,What will the dying process be like for you? Can you be kept comfortable?  ",Hospice care
"By blocking the estrogen from acting on cancer cells,By lowering estrogen levels in a woman's body",Hormone therapy for breast cancer
,Hormone levels
,Hormonal effects in newborns
"Abdominal discomfort,Cough,Diarrhea,Fever,Gas,Itchy rash,Nausea, vomiting",Hookworm infection
"Chest deformities (,, ,),Flush across the cheeks,Intellectual disability,Long limbs,Mental disorders,Nearsightedness,Spidery fingers (,),Tall, thin build ",Homocystinuria
"Keep cleaning fluids, bug poisons, and other chemicals out of a child's reach. DO NOT store toxic substances in unmarked or inappropriate containers (such as food containers). Keep these things locked up if possible.,DO NOT use pesticides on plants if possible.,Buy medicines with child-resistant caps. Store all medicines out of the reach of children.,Keep cosmetics and nail polish out of reach.,Put safety latches on cabinets that a child should not open. ",Home safety - children
"Doing simple, prescribed exercises,Changing wound dressings,Taking medicines, fluids, or feedings through catheters that have been placed into your veins,Learning to monitor your blood pressure, your weight, or your heart rate,Managing urine catheters and wounds,Taking your medicines correctly ,Moving in and out of beds, baths, or cars,Dressing and grooming,Emotional support,Changing bed linens, washing and ironing laundry, and cleaning,Buying, preparing, and serving meals,Buying household supplies or running errands,Personal care, such as bathing, dressing, or grooming ",Home health care 
"Measuring tape or a yardstick,Eye charts,Tape or tacks to hang the eye charts on the wall,A pencil to record results,Another person to help (if possible)",Home vision tests
"If you are having symptoms of low blood sugar (,),After you eat out, especially if you have eaten foods you DO NOT normally eat,If you feel sick,Before or after you exercise,If you have been under a lot of stress,If you eat too much or skip meals or snacks,If you are taking new medicines, took too much insulin or diabetes medicine by mistake, or took your medicine at the wrong time,If your blood sugar has been higher or lower than normal,If you are drinking alcohol ",Home blood sugar testing
"Acid reflux (,),Breathing in irritating substances,Cancer of the throat or larynx,Chronic ,Colds or upper respiratory infections,Heavy smoking or drinking, especially together,Overuse or abuse of the voice (as in shouting or singing), which may cause swelling or growths on the vocal cords ,Injury or irritation from a breathing tube or , box (from trauma or surgery),Swallowing a harsh chemical liquid,Changes in the larynx during puberty, or ",Hoarseness 
"Put the stick-on patches (called electrodes) or the belt on your baby's chest or stomach.,Attach the wires from the electrodes to the monitor.,Turn on the monitor. ",Home apnea monitor use - infants
,Holter monitor (24h)
"Fever and chills that come and go,Itching all over the body that cannot be explained,Loss of appetite,Drenching night sweats,Painless swelling of the lymph nodes in the neck, armpits, or groin (,),Weight loss that cannot be explained ,Coughing, chest pains, or breathing problems if there are swollen lymph nodes in the chest,Excessive sweating,Pain or feeling of fullness below the ribs due to swollen spleen or liver,Pain in lymph nodes after drinking alcohol,Skin blushing or flushing ",Hodgkin lymphoma
"Swelling of the surface of the skin into red- or skin-colored welts (called wheals) with clearly defined edges.,Wheals may get bigger, spread, and join together to form larger areas of flat, raised skin. ,Wheals can also change shape, disappear, and reappear within minutes or hours.You know you have hives when you press the center of a wheal, it turns white. This is called blanching.",Hives
"Acting or looking overly seductive,Being easily influenced by other people,Being overly concerned with their looks,Being overly dramatic and emotional,Being overly sensitive to criticism or disapproval,Believing that relationships are more intimate than they actually are,Blaming failure or disappointment on others,Constantly seeking reassurance or approval,Having a low tolerance for frustration or delayed gratification,Needing to be the center of attention (,),Quickly changing emotions, which may seem shallow to others",Histrionic personality disorder
"Chest pain,Chills,Cough,Fever,Joint pain and stiffness,Muscle aches and stiffness,Rash (usually small sores on the lower legs),Shortness of breath
  ,Have HIV/AIDS,Have had bone marrow or solid organ transplants,Take medicines that suppress their immune system,Inflammation around the heart (called ,),Serious lung infections,Severe joint pain",Histoplasmosis - acute (primary) pulmonary
" and , and , that gets worse when breathing in,Joint pain,Red skin bumps, most often on the lower legs ,Chest pain and shortness of breath,Cough, possibly coughing up blood,Fever and sweating ,Chest pain from swelling in the lining around the heart,Headache and neck stiffness from swelling in the covering of the brain (meninges) and spinal cord,High fever ",Histoplasmosis
"Fever and muscle pains,Headache,Sore throat,Night sweats,Mouth sores, including yeast infection (thrush),Swollen lymph glands,Diarrhea",HIV/AIDS
,HLA-B27 antigen
,Histoplasma skin test
